Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,LMA,N.perc,C.perc,N.area,C.area,Vcmax.N,Jmax.N,R.N
w.c,263,3,3,1,131,32.5,181.026615,195.8961194,6.198546051,79.06974146,155.647179,6.196054587,90.3,1.95,45.73,17.60834322,413.1243935,10.28072958,11.12518747,0.352023241
w.c,264,4,3,1,131,28,89.73837673,154.4248758,2.374809191,64.84091626,133.5491359,2.209335152,90.3,1.95,45.73,17.60834322,413.1243935,5.096355496,8.76998329,0.134868407
w.c,264,5,3,1,131,36.6,256.6547265,215.697666,4.055333017,74.84456438,184.4833037,4.234424784,90.3,1.95,45.73,17.60834322,413.1243935,14.57574534,12.24974226,0.230307472
w.c,268,6,3,1,131,35.7,216.8996565,243.9555717,3.169200244,66.90120308,201.3583426,2.942630667,90.3,1.95,45.73,17.60834322,413.1243935,12.31800481,13.85454433,0.179982875
w.c,268,8,3,1,131,39.4,309.6894445,257.5878198,5.541069365,68.09362451,264.1690763,5.750725021,90.3,1.95,45.73,17.60834322,413.1243935,17.5876538,14.62873688,0.314684312
w.c,269,9,3,1,131,41.7,264.2889508,241.495108,3.675289828,46.72096969,324.40456,3.857343539,90.3,1.95,45.73,17.60834322,413.1243935,15.00930255,13.7148115,0.208724341
w.c,269,10,3,1,131,42.7,272.2799132,233.5433762,4.098174226,41.70288184,347.8155708,4.058527297,90.3,1.95,45.73,17.60834322,413.1243935,15.46311938,13.26322263,0.232740478
w.c,269,11,3,1,131,42,231.024041,222.4301887,2.793950358,39.47046945,288.8653187,3.03473046,90.3,1.95,45.73,17.60834322,413.1243935,13.12014641,12.63209071,0.158671962
w.c,269,12,3,1,131,42,243.13119,221.1873608,2.601295686,40.04681817,298.5679341,2.533578268,90.3,1.95,45.73,17.60834322,413.1243935,13.80772665,12.56150894,0.14773086
w.c,263,1,5,1,151,35.1,144.2632406,134.784846,3.201813799,42.93114619,106.3953678,2.940770812,75.3,1.77,44.73,13.29646781,336.9195946,10.84974165,10.13689109,0.240801831
w.c,263,2,5,1,151,32.5,110.0724262,140.5659677,4.45355317,47.99707414,110.9601188,4.360854922,75.3,1.77,44.73,13.29646781,336.9195946,8.278320819,10.57167736,0.334942575
w.c,264,3,5,1,151,29.8,81.27823319,122.5342584,2.224064037,48.48408366,99.97313266,2.070707528,75.3,1.77,44.73,13.29646781,336.9195946,6.112768773,9.215549589,0.167267283
